country,p,q,C,t_star_year,N_latest,frac_latest,rogers_category
Australia,1.6925898242236862e-05,0.6604555454537728,1445016.004937269,2026.0064812169144,302000.0,0.208994224955391,Early majority
Austria,0.000384478823029918,0.5467826225791211,462420.0680512463,2023.268191515399,275000.0,0.5946973736648556,Late majority
Belgium,0.00011878601165086766,0.555223768663798,2000924.7616494675,2025.2154787602062,670000.0,0.3348451740122821,Early majority
Brazil,1.0000000000000002e-06,0.8570182092672106,1318415.009609841,2025.9403830127933,214000.0,0.16231611324216422,Early majority
Canada,2.198679226635968e-06,0.36433811795297005,859994309.2224066,2042.985591310549,860000.0,0.0010000066172270354,Innovators
Chile,1.0000000000050506e-06,0.6761067877653955,600828.2672830725,2029.8549795691295,11300.0,0.018807370783499026,Innovators
China,8.169093946021291e-05,0.5241693760960224,175866866.03799206,2026.7221921013434,34000000.0,0.19332805983280027,Early majority
Denmark,0.00010188558166146857,0.6314310347578865,864571.3144926928,2023.8265057762308,460000.0,0.532055589040582,Late majority
Europe,0.0003214144105602525,0.5725903786330547,22483728.8422908,2023.065178043649,14100000.0,0.6271201765019772,Late majority
European Union (27),0.00018887604332545218,0.6439969305555716,14475758.022877932,2022.6273479034448,10200000.0,0.7046263127554085,Late majority
Finland,9.334588755506113e-05,0.7348945297462023,334024.99314465845,2022.2058754346726,260000.0,0.77838486740841,Late majority
France,0.0003178817118540345,0.6129129306115146,2445128.103679654,2022.3351577846167,1750000.0,0.715708922312266,Late majority
Germany,6.313623212529842e-05,0.7869676433644693,3699785.3665310703,2021.9825651686301,3100000.0,0.8378864428307551,Late majority
Greece,3.1182671045799257e-06,1.00854475108458,55816.4305203495,2022.5792160813658,45000.0,0.806214220086932,Late majority
Iceland,0.0007230373431068607,0.5070175142513942,84240.28619735634,2022.90588261117,53000.0,0.6291526583353805,Late majority
India,1.0000000000000002e-06,1.0370476946391995,364586.2644415831,2023.3570280264178,240480.0,0.6595969828109957,Late majority
Israel,1.5038632226550544e-05,0.8036456935441013,386233.332284322,2023.545879453235,228000.0,0.5903167358744686,Late majority
Italy,2.8776448041766767e-05,0.8613195802446978,699409.3793414849,2021.965732019507,600000.0,0.8578666768308401,Laggards
Japan,2.652994365899875e-05,0.12038315857634707,619999999.9964058,2079.929263850424,620000.0,0.001000000000005797,Innovators
Mexico,1.000000000000198e-06,0.4977652483549019,31828061.13266047,2036.3535020692473,68000.0,0.0021364794957686433,Innovators
Netherlands,5.029154483329927e-06,0.29080165197464997,979998392.5050337,2047.7059591190502,980000.0,0.0010000016403036765,Innovators
New Zealand,0.00021656569125230363,0.6170476829793285,172290.1185339213,2022.8871997265242,113000.0,0.6558704640844043,Late majority
Norway,0.0025790293733136084,0.49404011705258943,1156179.6631389395,2020.5819593224828,960000.0,0.8303207802441995,Late majority
Poland,1.820819151497821e-05,0.8778582062142384,146834.95092133599,2022.2834702131386,119000.0,0.810433750638511,Late majority
Portugal,0.0002578305943472856,0.5204218654370532,572252.7616463267,2024.6156885723362,240000.0,0.41939509266768527,Early majority
Rest of World,0.00010654086652112014,0.600067517733982,1696138.081858535,2024.3896069797029,750000.0,0.44218098044128057,Early majority
South Korea,0.0003429336123793274,0.5772085335852106,938432.4810517917,2022.86192215518,617000.0,0.657479373804782,Late majority
Spain,0.00013747125647482801,0.6557297823843952,676681.6799660855,2022.91433467293,450000.0,0.6650098758733257,Late majority
Sweden,0.00026345320490469437,0.6557641307675054,841602.2555693676,2021.919743736151,670000.0,0.7961005279705746,Late majority
Switzerland,0.0004478796766883619,0.553550883155254,523439.82702025236,2022.8512639681912,340000.0,0.6495493511364872,Late majority
Turkey,1.0000000000000002e-06,0.8722195229858274,985067.3430989987,2025.6827270825108,192000.0,0.19491053210227488,Early majority
United Kingdom,0.00024767270244702535,0.4736996222871675,7681934.247315074,2025.9431663501257,2170000.0,0.282480939062768,Early majority
United States,4.260289619448582e-06,0.3058506694812125,6299999999.985067,2046.5582307867655,6300000.0,0.0010000000000023703,Innovators
World,0.0001603340794007037,0.4552235620493575,340302334.579337,2027.4606180749179,58000000.0,0.17043667970040935,Early majority
